id,title,content,card_id
3227,푸드,"블랙스미스, VIPS 20% 결제일 캐시백",820
3228,마트/편의점,"GS25, 베스킨라빈스, 던킨도너츠 5% 결제일 캐시백",820
3229,주유,S-oil(LPG포함) 리터당 40원 결제일 캐시백,820
3230,교통,대경고통카드 서비스 (선택사항),820
3231,카페/디저트,"[상품서비스]스타벅스, 이디야 5% 할인(캐시백)",821
3232,영화/문화,"[상품서비스]CGV, 롯데시네마, 메가박스 3,000원 할인(캐시백)",821
3233,마트/편의점,"[상품서비스]CU, GS25 5% 할인(캐시백)",821
3234,통신,"[상품서비스]SKT, KT, LGU+ 휴대폰 자동이체 5% 할인(캐시백)",821
3235,쇼핑,"[상품서비스]올리브영, 다이소 5% 할인(캐시백)",821
3236,통신,이동통신요금 자동이체시 3% 결제일 캐시백,822
3237,카페/디저트,스타벅스 20% 결제일 캐시백,822
3238,푸드,"블랙스미스, 아웃백 20% 결제일 캐시백",822
3239,카페/디저트,"베스킨라빈스, 던킨도너츠 5% 결제일 캐시백",822
3240,영화/문화,CGV 최대 6천원 결제일 캐시백,822
3241,마트/편의점,"CU, GS25 5% 결제일 캐시백",822
3242,영화/문화,"교보문고 매장구입시 2천원 결제일 캐시백
토익응시료 2천원 결제일 캐시백",822
3243,테마파크,놀이공원 50% 결제일 캐시백,822
3244,여행/숙박,"국제선 항공권 10% 할인
해외호텔 10% 할인",822
3245,금융,금융수수료 감면서비스,822
3246,쇼핑,"현대백화점 이용금액 5% 현장힐인
현대아울렛 이용금액 5% 캐시백할인",823
3247,항공,진에어 항공권 구입금액 5% 캐시백할인,823
3248,캐시백,연간 보너스 캐시백 할인,823
3249,주유,현대오일뱅크 리터당 40원 캐시백할인(LPG 포함),823
3250,카페/디저트,"스타벅스, 커피빈, 엔제리너스 10% 캐시백 할인",823
3251,영화/문화,CGV 3천원 ~ 6천원 캐시백 할인,823
3252,영화/문화,교보문고/토익응시료 2천원 캐시백할인,823
3253,푸드,"아웃백스테이크하우스 , TGIF 1만원 캐시백 할인",823
3254,캐시백,"가맹점 대구은행BC카드 매출액의 0.2% 캐시백
[부가서비스] 스페셜 캐시백 제공",824
3255,생활,"주유, 커피, 쇼핑, 이동통신, 여행, 렌터카 등 생활서비스 할인",824
3256,비즈니스,"보안서비스 - KT텔레캅 보안서비스 월 이용료 견적가의 25% 할인
부가세환급 - 부가세신고 자료 제공",824
3257,주유,GS칼텍스 주유소 이용시 리터당 50원 할인(LPG제외),825
3258,무이자할부,국내 전 가맹점 2~3개월 무이자할부 제공,825
3259,금융,부가세환급서비스,825
3260,기타,오피스웨이 7% 할인 제공,825
3261,여행/숙박,각종 여행 서비스 제공,825
3262,할인,기본서비스(청구할인),827
3263,비즈니스,사업자우대 서비스,827
3264,공항라운지/PP,공항라운지 서비스,827
3265,적립,포인트적립 서비스,828
3266,비즈니스,사업자우대 서비스,828
3267,적립,포인트적립 서비스,829
3268,비즈니스,사업지원 서비스,829
3269,자동차/하이패스,출퇴근 시간대 통행료 자동할인,830
3270,쇼핑,대구백화점 우대 서비스,831
3271,주유,전국 모든 주유소(LPG포함) 이용 시 리터당 60원 청구할인,831
3272,테마파크,전국 주요 놀이공원 무료입장 및 자유이용권 50% 할인 (월 1회 놀이공원 통합),831
3273,캐시백,생활 업종 캐쉬백 할인,831
3274,주유,[공통서비스] 주유 리터당 60원 할인,832
3275,무이자할부,[공통서비스] 전 가맹점 2~3개월 무이자할부 서비스,832
3276,통신,[공통서비스] 자동이체 이동통신요금의 3% 할인,832
3277,테마파크,[공통서비스] 전국 주요놀이공원 무료입장 및 자유이용권 50% 할인,832
3278,생활,[평상시서비스] 생활편의업종 5% 할인,832
3279,교통,[평상시서비스] 철도이용요금 5% 할인,832
3280,영화/문화,"[평상시서비스] 교보, 영풍문고, YES24, 영광서적, 동보서적 3% 할인",832
3281,푸드,"[평상시서비스] 아웃백, TGIF, VIPS 10% 할인",832
3282,적립,[세이브서비스] 이용금액 연동 단디세이브 포인트 적립,832
3283,공과금/렌탈,아파트관리비 할인서비스 최대 1만원 청구할인,833
3284,생활,"생활할인 서비스
병원/약국 업종 5% 할인 및 베이커리 5% 청구할인",833
3285,영화/문화,메가박스 현장할인,833
3286,쇼핑,패션그룹 형지 할인,833
3287,여행/숙박,"국내 카라반, 글램핑, 펜션 무료제공",833
3288,국민행복,국민행복카드 안내,834
3289,병원/약국,"One Card-Multi Service ( 3가지 중 택 1)
(A type) For Baby",834
3290,교육/육아,"One Card-Multi Service ( 3가지 중 택 1)
(B type) For Children",834
3291,적립,"One Card-Multi Service ( 3가지 중 택 1)
(C type) For Greenren",834
3292,생활,공통서비스 안내,834
3293,쇼핑,대구백화점 우대 서비스,835
3294,주유,전국 모든 주유소(LPG포함) 이용 시 리터당 60원 청구할인,835
3295,테마파크,전국 주요 놀이공원 무료입장 및 자유이용권 50% 할인 (월 1회 놀이공원 통합),835
3296,캐시백,생활 업종 캐쉬백 할인,835
3297,교통,레일플러스 포인트적립 서비스,836
3298,생활,"[생활할인서비스] 주유, 교통, 편의점, 커피 할인",836
3299,애완동물,반려동물 병원 이용시 20% 청구할인,837
3300,애완동물,"반려동물업종(용품, 식품, 미용 등) 10% 청구할인",837
3301,애완동물,반려동물 사랑기금,837
3302,마트/편의점,"홈플러스, 이마트, 롯데마트 5~10% 청구할인",837
3303,푸드,"아웃백, TGIF 20% 청구할인",837
3304,영화/문화,CGV 3천원 ~ 6천원 영화할인,837
3305,카페/디저트,Sleepless in Seattle 상시 10% 청구할인,837
3306,통신,KT통신료 월 7천원 ~ 1만5천원 청구할인,838
3307,카페/디저트,슬립리스인시애틀 10% 청구할인,838
3308,캐시백,"연간 1,500만원 이상 사용 시, 3만원 캐쉬백",838
3309,BC TOP,전국 TOP포인트 가맹점에서 TOP포인트 적립,838
3310,쇼핑,[홈쇼핑할인] 6대홈쇼핑 이용액의 6% 할인,839
3311,생활,"[생활할인] 커피, 베이커리, 영화, 패밀리레스토랑 할인",839
3312,쇼핑,[쇼핑할인] 국내외 각 분야별 쇼핑 할인,840
3313,영화/문화,[영화할인] 롯데시네마 4천원 할인,840
3314,주유,[GREiT 생활서비스] 주유업종 모바일 상품권 서비스,841
3315,마트/편의점,[GREiT 생활서비스] 대형마트 할인 서비스,841
3316,카페/디저트,[GREiT 생활서비스] 스타벅스 할인 서비스,841
3317,생활,[GREiT 생활서비스] SMS무료 및 후불교통카드,841
3318,금융,[GREiT 금융서비스] 캐쉬백 / ATM 서비스,841
3319,주유,SK주유소 및 충전소 리터당 최대 120원 할인,842
3320,생활,"[생활서비스] 커피 / 편의점 / 주차장 / 약국 / 병의원 1,000원 청구할인",842
3321,BC TOP,[무실적서비스] TOP 포인트 적립,843
3322,테마파크,[유실적서비스/현장할인] 놀이공원 및 영화 할인,843
3323,캐시백,"[유실적서비스/캐쉬백] 외식 및 약국, 편의점 등 캐쉬백",843
